element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
82,-155.256686,-48.7789678,-85.9985349,78,1,8534.64,0.246,-441.003906
83,-107.830113,-48.7789678,-85.9985349,78,1,8534.64,0.246,-441.003906
84,-60.4035395,-48.7789678,-85.9985349,83,1,8534.64,0.246,-441.003906
85,-12.9769664,-48.7789678,-85.9985349,83,1,8534.64,0.246,-441.003906
86,34.4496066,-48.7789678,-85.9985349,78,1,8534.64,0.246,-441.003906
87,81.8761796,-48.7789678,-85.9985349,78,1,8534.64,0.246,-441.003906
88,129.302752,-48.7789678,-85.9985349,83,0,0,0.246,-441.003906
89,-202.683259,-15.8225739,-85.9985349,82,0,0,0.246,-441.003906
90,-155.256686,-15.8225739,-85.9985349,77,1,8534.64,0.246,-441.003906
91,-107.830113,-15.8225739,-85.9985349,77,1,8534.64,0.246,-441.003906
92,-60.4035395,-15.8225739,-85.9985349,82,1,8534.64,0.246,-441.003906
93,-12.9769664,-15.8225739,-85.9985349,82,1,8534.64,0.246,-441.003906
94,34.4496066,-15.8225739,-85.9985349,77,1,8534.64,0.246,-441.003906
95,81.8761796,-15.8225739,-85.9985349,77,1,8534.64,0.246,-441.003906
96,129.302752,-15.8225739,-85.9985349,82,0,0,0.246,-441.003906
97,-202.683259,17.13382,-85.9985349,82,0,0,0.246,-441.003906
98,-155.256686,17.13382,-85.9985349,77,0,0,0.246,-441.003906
99,-107.830113,17.13382,-85.9985349,77,0.116883117,258.00054,0.246,-441.003906
100,-60.4035395,17.13382,-85.9985349,82,0.792682927,5844.09677,0.246,-441.003906
101,-12.9769664,17.13382,-85.9985349,82,0.658536585,4319.8678,0.246,-441.003906
102,34.4496066,17.13382,-85.9985349,77,1,8534.64,0.246,-441.003906
103,81.8761796,17.13382,-85.9985349,77,1,8534.64,0.246,-441.003906
104,129.302752,17.13382,-85.9985349,82,0,0,0.246,-441.003906
105,-202.683259,50.0902138,-85.9985349,83,0,0,0.246,-441.003906
106,-155.256686,50.0902138,-85.9985349,78,0,0,0.246,-441.003906
107,-107.830113,50.0902138,-85.9985349,78,0.858974359,6661.51381,0.246,-441.003906
108,-60.4035395,50.0902138,-85.9985349,83,1,8534.64,0.246,-441.003906
