element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
94,34.4496066,-15.8225739,-85.9985349,77,0,0,0.246,300
95,81.8761796,-15.8225739,-85.9985349,77,0,0,0.246,300
96,129.302752,-15.8225739,-85.9985349,82,0,0,0.246,300
97,-202.683259,17.13382,-85.9985349,82,0,0,0.246,300
98,-155.256686,17.13382,-85.9985349,77,0,0,0.246,300
99,-107.830113,17.13382,-85.9985349,77,0,0,0.246,300
100,-60.4035395,17.13382,-85.9985349,82,0,0,0.246,300
101,-12.9769664,17.13382,-85.9985349,82,0,0,0.246,300
102,34.4496066,17.13382,-85.9985349,77,0,0,0.246,300
103,81.8761796,17.13382,-85.9985349,77,0.61038961,3817.0235,0.246,300
104,129.302752,17.13382,-85.9985349,82,0,0,0.246,300
105,-202.683259,50.0902138,-85.9985349,83,0,0,0.246,300
106,-155.256686,50.0902138,-85.9985349,78,0,0,0.246,300
107,-107.830113,50.0902138,-85.9985349,78,0.0384615385,42.1481629,0.246,300
108,-60.4035395,50.0902138,-85.9985349,83,0,0,0.246,300
109,-12.9769664,50.0902138,-85.9985349,83,0,0,0.246,300
110,34.4496066,50.0902138,-85.9985349,78,0,0,0.246,300
111,81.8761796,50.0902138,-85.9985349,78,0,0,0.246,300
112,129.302752,50.0902138,-85.9985349,83,0,0,0.246,300
113,-202.683259,83.0466077,-85.9985349,81,0,0,0.246,300
114,-155.256686,83.0466077,-85.9985349,81,0,0,0.246,300
115,-107.830113,83.0466077,-85.9985349,81,0,0,0.246,300
116,-60.4035395,83.0466077,-85.9985349,81,0,0,0.246,300
117,-12.9769664,83.0466077,-85.9985349,81,0,0,0.246,300
118,34.4496066,83.0466077,-85.9985349,81,0,0,0.246,300
119,81.8761796,83.0466077,-85.9985349,81,0,0,0.246,300
120,129.302752,83.0466077,-85.9985349,81,0,0,0.246,300
121,-202.683259,116.003001,-85.9985349,80,0,0,0.246,300
122,-155.256686,116.003001,-85.9985349,81,0,0,0.246,300
123,-107.830113,116.003001,-85.9985349,81,0,0,0.246,300
124,-60.4035395,116.003001,-85.9985349,80,0,0,0.246,300
125,-12.9769664,116.003001,-85.9985349,80,0,0,0.246,300
126,34.4496066,116.003001,-85.9985349,81,0,0,0.246,300
127,81.8761796,116.003001,-85.9985349,81,0,0,0.246,300
128,129.302752,116.003001,-85.9985349,80,0,0,0.246,300
129,-202.683259,-114.691755,-22.4975586,80,0,0,0.246,300
130,-155.256686,-114.691755,-22.4975586,81,0,0,0.246,300
131,-107.830113,-114.691755,-22.4975586,81,0.740740741,5232.88468,0.246,300
132,-60.4035395,-114.691755,-22.4975586,80,0,0,0.246,300
133,-12.9769664,-114.691755,-22.4975586,80,0,0,0.246,300
134,34.4496066,-114.691755,-22.4975586,81,0,0,0.246,300
135,81.8761796,-114.691755,-22.4975586,81,0,0,0.246,300
136,129.302752,-114.691755,-22.4975586,80,0,0,0.246,300
137,-202.683259,-81.7353616,-22.4975586,81,0,0,0.246,300
138,-155.256686,-81.7353616,-22.4975586,81,0,0,0.246,300
139,-107.830113,-81.7353616,-22.4975586,81,0,0,0.246,300
140,-60.4035395,-81.7353616,-22.4975586,81,0,0,0.246,300
141,-12.9769664,-81.7353616,-22.4975586,81,1,8534.64,0.246,300
142,34.4496066,-81.7353616,-22.4975586,81,0,0,0.246,300
143,81.8761796,-81.7353616,-22.4975586,81,0,0,0.246,300
144,129.302752,-81.7353616,-22.4975586,81,0,0,0.246,300
145,-202.683259,-48.7789678,-22.4975586,83,0,0,0.246,300
146,-155.256686,-48.7789678,-22.4975586,78,0.782051282,5716.8742,0.246,300
147,-107.830113,-48.7789678,-22.4975586,78,0,0,0.246,300
148,-60.4035395,-48.7789678,-22.4975586,83,0,0,0.246,300
149,-12.9769664,-48.7789678,-22.4975586,83,0.903614458,7234.98734,0.246,300
150,34.4496066,-48.7789678,-22.4975586,78,0,0,0.246,300
